2026-07-26 21:35:06 | stm32u385cg | table_14 | page=49 | Y=3.34 Tamper and backup registers (TAMP) | outline/toc=3.37 Universal synchronous/asynchronous receiver transmitter (USART)
2026-07-26 21:35:06 | stm32u375ce | table_12 | page=40 | Y=3.30 Timers and watchdogs | outline/toc=3.30.1 Advanced-control timers (TIM1)
2026-07-26 21:35:06 | stm32u375ce | table_13 | page=45 | Y=3.32 Tamper and backup registers (TAMP) | outline/toc=3.34 Improved inter-integrated circuit interface (I3C)
2026-07-26 21:35:06 | stm32u375ce | table_14 | page=47 | Y=3.32 Tamper and backup registers (TAMP) | outline/toc=3.35 Universal synchronous/asynchronous receiver transmitter (USART)
2026-07-26 21:35:06 | stm32u385cg | table_16 | page=53 | Y=3.39 Serial peripheral interface (SPI) | outline/toc=3.40 Serial audio interfaces (SAI)
2026-07-26 21:35:06 | stm32u385cg | table_17 | page=54 | Y=3.40 Serial audio interfaces (SAI) | outline/toc=3.41 Secure digital input/output and MultiMediaCards interface (SDMMC)
2026-07-26 21:35:06 | stm32u375ce | table_16 | page=51 | Y=3.37 Serial peripheral interface (SPI) | outline/toc=3.38 Serial audio interfaces (SAI)
2026-07-26 21:35:06 | stm32u385cg | table_18 | page=55 | Y=3.41 Secure digital input/output and MultiMediaCards interface (SDMMC) | outline/toc=3.42 Controller area network (FDCAN)
2026-07-26 21:35:06 | stm32u375ce | table_17 | page=52 | Y=3.38 Serial audio interfaces (SAI) | outline/toc=3.39 Secure digital input/output and MultiMediaCards interface (SDMMC)
2026-07-26 21:35:06 | stm32u385cg | table_19 | page=56 | Y=3.43 USB full-speed (USB) | outline/toc=3.44.2 Embedded Trace Macrocell
2026-07-26 21:35:06 | stm32u375ce | table_18 | page=53 | Y=3.39 Secure digital input/output and MultiMediaCards interface (SDMMC) | outline/toc=3.40 Controller area network (FDCAN)
2026-07-26 21:35:06 | stm32u375ce | table_19 | page=54 | Y=3.41 USB full-speed (USB) | outline/toc=3.42.2 Embedded Trace Macrocell
2026-07-26 21:35:06 | stm32u385cg | table_28 | page=101 | Y=5.3.2 Operating conditions at power-up/power-down | outline/toc=5.3.3 Embedded reset and power control block characteristics
2026-07-26 21:35:06 | stm32u375ce | table_28 | page=99 | Y=5.3.2 Operating conditions at power-up/power-down | outline/toc=5.3.3 Embedded reset and power control block characteristics
2026-07-26 21:35:06 | stm32u385cg | table_70 | page=132 | Y=5.3.7 Wake-up time from low-power modes and voltage scaling transition times | outline/toc=5.3.8 External clock timing characteristics
2026-07-26 21:35:06 | stm32u385cg | table_74 | page=136 | Y=5.3.8 External clock timing characteristics | outline/toc=5.3.9 Internal clock timing characteristics
2026-07-26 21:35:06 | stm32u375ce | table_69 | page=129 | Y=5.3.7 Wake-up time from low-power modes and voltage scaling transition times | outline/toc=5.3.8 External clock timing characteristics
2026-07-26 21:35:06 | stm32u375ce | table_70 | page=129 | Y=5.3.7 Wake-up time from low-power modes and voltage scaling transition times | outline/toc=5.3.8 External clock timing characteristics
2026-07-26 21:35:06 | stm32u385cg | table_79 | page=143 | Y=5.3.10 Flash memory characteristics | outline/toc=5.3.11 EMC characteristics
2026-07-26 21:35:06 | stm32u385cg | table_80 | page=143 | Y=5.3.10 Flash memory characteristics | outline/toc=5.3.11 EMC characteristics
2026-07-26 21:35:06 | stm32u375ce | table_74 | page=133 | Y=5.3.8 External clock timing characteristics | outline/toc=5.3.9 Internal clock timing characteristics
2026-07-26 21:35:06 | stm32u385cg | table_81 | page=144 | Y=5.3.11 EMC characteristics | outline/toc=5.3.12 Electrical sensitivity characteristics
2026-07-26 21:35:06 | stm32u385cg | table_82 | page=144 | Y=5.3.11 EMC characteristics | outline/toc=5.3.12 Electrical sensitivity characteristics
2026-07-26 21:35:06 | stm32u375ce | table_79 | page=140 | Y=5.3.10 Flash memory characteristics | outline/toc=5.3.11 EMC characteristics
2026-07-26 21:35:06 | stm32u375ce | table_80 | page=140 | Y=5.3.10 Flash memory characteristics | outline/toc=5.3.11 EMC characteristics
2026-07-26 21:35:06 | stm32u385cg | table_85 | page=146 | Y=5.3.13 I/O current injection characteristics | outline/toc=5.3.14 I/O port characteristics
